firstname,lastname,bsn,address,city,zipcode
Margret,Kennion,4109,64 Havey Street,Strasbourg,FR
Moritz,Brister,3,2 Norway Maple Center,Avignon,FR
Jeannette,Keetch,7261,985 Heffernan Circle,Trélissac,FR
Channa,Diviney,2951,6715 Del Mar Point,Lagnieu,FR
Ulrika,Absolom,4210,444 2nd Terrace,Albi,FR
Gabriel,Gorthy,6,09 Doe Crossing Parkway,Nanterre,FR
Modesta,Gilhooley,70,722 Colorado Crossing,Alençon,FR
Chaunce,Ward,433,5010 John Wall Street,Wintzenheim,FR
Ara,Espino,227,6690 Toban Drive,Blois,FR
Brittne,Arnoll,52,5 8th Park,Nantes,FR
Nicky,Hardway,822,42362 Bultman Point,Charleville-Mézières,FR
Wenona,De Ferrari,3317,83102 Northview Circle,Nantes,FR
Alden,Ramsby,221,1150 Di Loreto Trail,Angers,FR
Mariam,Crosbie,903,857 Glacier Hill Center,Fresnes,FR
Derek,Klessmann,853,4296 Hermina Road,Grenoble,FR
Aidan,Robbert,426,33 Anhalt Avenue,Langres,FR
Karalee,Veillard,69047,3666 Hudson Trail,Castelsarrasin,FR
Vlad,Lehrahan,76514,88 Mitchell Place,Poitiers,FR
Tera,Aysh,79132,82173 Saint Paul Way,Nantes,FR
Korry,Dingley,337,7290 Vahlen Pass,Angers,FR
Phip,Masson,325,0369 Maple Street,Nîmes,FR
Georgiana,Udey,8,270 Kensington Lane,Nice,FR
Raimundo,Appleby,67,50655 Toban Street,Sallanches,FR
Rebecka,Collumbine,79,88 Knutson Park,Rueil-Malmaison,FR
Brant,Imlin,873,03 Del Mar Pass,Aubenas,FR
Phillie,Loache,8463,9600 Hagan Junction,Arcueil,FR
Les,Blount,91966,22310 Longview Terrace,Saint-Flour,FR
Haywood,Chapelhow,56,92 Katie Street,Évry,FR
Ryon,Iacovelli,335,95032 Corben Alley,Besançon,FR
Edgar,Thornborrow,5721,2 Emmet Alley,Blois,FR
Oates,Manntschke,6,169 Blaine Trail,Périgueux,FR
Lenora,Lambal,5842,65 Union Circle,Saint-Étienne,FR
Savina,Chennells,2334,96127 Comanche Park,Clermont-Ferrand,FR
Nikkie,Greene,78,60028 Corscot Plaza,Montpellier,FR
Lamont,Mocquer,7,68708 Ilene Circle,Bastia,FR
Lilly,Cicchelli,21,929 Dovetail Plaza,Boissy-Saint-Léger,FR
Alaric,McPheat,52,7 Lighthouse Bay Park,Dijon,FR
Kaitlin,Agronski,955,0 Dottie Circle,Calais,FR
Marshall,Corkell,70647,99363 Roxbury Street,Auch,FR
Che,Murfill,311,8012 Moulton Place,Balma,FR
Michell,Scrivens,2,02798 1st Terrace,Rouen,FR
Ari,Gaven,7,5 Nancy Street,Le Cannet,FR
Kain,Peirazzi,17196,65 Blaine Alley,Tours,FR
Murdock,Marshal,893,05 Caliangt Place,Paris 07,FR
Louisa,Wisam,81246,602 High Crossing Junction,Carpiquet,FR
Lancelot,Trustey,61652,240 Oriole Parkway,Paris 11,FR
Myles,Dillway,681,3559 Lighthouse Bay Circle,Cran-Gevrier,FR
Bren,Jobson,41357,0898 Farmco Way,Ivry-sur-Seine,FR
Carlota,Cardiff,7,787 Heath Crossing,Rennes,FR
Leopold,Easlea,10,25469 Spenser Hill,Tours,FR
Dacie,Searle,78333,4 Corben Place,Lyon,FR
Taffy,Sitwell,28,436 Cambridge Terrace,Annecy,FR
Smith,Caughtry,2303,0 Bunting Place,Nantes,FR
Dode,Janak,5210,97923 Corry Trail,Lacroix-Saint-Ouen,FR
Felipe,Tanfield,0,4971 Jana Drive,Arras,FR
Tobias,Houlahan,8819,4560 Ruskin Point,Mulhouse,FR
Fawn,Mountcastle,5778,82 Brown Crossing,Paris 02,FR
Petey,Lodder,5507,246 Stuart Alley,Dieppe,FR
Benedikta,Aggott,456,29987 Sheridan Pass,Saint-Étienne,FR
Izak,Gisburne,2907,5 Oak Valley Junction,Cesson,FR
Geordie,Goldman,119,793 Mendota Center,Fontenay-sous-Bois,FR
Fionna,Kett,3,4 Carberry Lane,Carpentras,FR
Cassey,Delion,5,2427 Melvin Road,Marseille,FR
Fee,Beddoe,4460,5288 7th Park,Sartrouville,FR
Easter,Chinnock,9370,21813 Golf Plaza,Saint-Avertin,FR
Guglielma,Edgett,4,3 Kinsman Plaza,Martigues,FR
Odelle,Dunster,9,91974 Forster Trail,Le Mans,FR
Spense,Medeway,944,72644 Harper Plaza,Paris 12,FR
Portia,Gregersen,33618,377 Morningstar Pass,Villefranche-sur-Mer,FR
Jarrid,Davidovicz,81,6 Porter Alley,Montluçon,FR
Elle,Sleath,5635,04910 Luster Street,Paris La Défense,FR
Isabelle,Echallie,48381,02 Oneill Terrace,Villeneuve-la-Garenne,FR
Arel,Pechacek,803,087 Montana Avenue,Agen,FR
Jacquie,Budge,3,4106 Ramsey Avenue,Albi,FR
Jasun,Fiddyment,6,98589 Garrison Way,Annecy,FR
Jourdain,Draper,6,93302 Gina Alley,Paris 09,FR
Shay,Patrono,8260,116 Buena Vista Place,Meaux,FR
Ardra,Dover,33437,49 Gina Place,Salon-de-Provence,FR
Beale,Mileham,12,3 Schiller Pass,Paris 15,FR
Mufinella,Calam,54429,80 Briar Crest Center,Montpellier,FR
Frazier,Cordy,21,303 Pepper Wood Way,Rouen,FR
Glenden,Dendon,24,8529 Thompson Way,Évreux,FR
Shaun,Shury,32119,96501 Magdeline Lane,Saint-Étienne,FR
Miguela,Hopfner,5,5 Mandrake Hill,Avignon,FR
Vin,Briamo,00549,27277 Superior Avenue,Rive-de-Gier,FR
Sibley,Blastock,93858,4 Gale Plaza,Les Sables-d'Olonne,FR
Ham,Feckey,4746,875 Harbort Park,Cergy-Pontoise,FR
Judon,Congreve,7,1430 Gale Way,La Rochelle,FR
Sidnee,Rennels,8775,65106 Knutson Hill,Andrézieux-Bouthéon,FR
Krissy,Shenfisch,799,7 Maple Wood Parkway,Reims,FR
Brynna,McKelvey,582,9235 Kenwood Hill,Orléans,FR
Daven,Goodship,65622,9173 Randy Pass,Angoulême,FR
Alexandr,Richford,8093,0083 Corry Pass,Décines-Charpieu,FR
Jamie,Crayk,15,6 Corben Street,Lyon,FR
Debbi,O'Regan,52393,6391 Dottie Lane,Saint-Quentin-en-Yvelines,FR
Orv,Cawston,8813,302 Loftsgordon Drive,Créteil,FR
Corina,Akroyd,3373,53785 Mallard Crossing,Bonneuil-sur-Marne,FR
Louie,Mueller,6973,38 Brentwood Trail,Levallois-Perret,FR
Rikki,Fydoe,0,988 Lukken Circle,Saint-Laurent-Blangy,FR
Gloria,Dalgarnowch,08,6 Ludington Center,Nantes,FR
Crin,Brickhill,6,39 Division Lane,Marseille,FR
Abbie,Swanborrow,105,7 Shoshone Lane,Poitiers,FR
Matthieu,Gerdes,45,332 Luster Trail,Évry,FR
Lenore,Reasce,49454,7 4th Parkway,Angoulême,FR
Shaine,Learmouth,817,848 Elmside Street,Mougins,FR
Deonne,Ivanikov,56881,9429 Oriole Lane,Lyon,FR
Trueman,Cejka,9339,1700 Claremont Way,Marseille,FR
Doro,Ravel,197,7 Texas Circle,Limoges,FR
Kirby,Behling,56,61 Novick Court,Sainte-Luce-sur-Loire,FR
Pascal,Brychan,51,48 Talisman Drive,Orléans,FR
Hestia,Vaisey,5,8592 Onsgard Plaza,Rennes,FR
Sonia,Biggadike,22483,253 Hooker Way,Rouen,FR
Wileen,Tebbut,98,45 Stuart Road,Nantes,FR
Jeffry,Halleday,2,15368 Rigney Road,Thiais,FR
Harbert,MacPaden,80,86717 Aberg Circle,Boulogne-Billancourt,FR
Kyrstin,Newham,158,02 Steensland Center,Meudon,FR
Alric,Van de Vlies,4745,60 Eastlawn Street,Saint-Malo,FR
Barney,Carlyle,325,6453 Continental Way,Rochefort,FR
Arnie,Luckett,36712,2 Northland Junction,Saverne,FR
Shelby,Tie,09,94 Colorado Alley,Boulogne-Billancourt,FR
Ad,Yeldham,8056,9150 Sachs Terrace,Vanves,FR
Rowen,Pennigar,18,157 Forest Dale Way,La Garde,FR
Vail,Brunel,3,762 Gale Drive,Amiens,FR
Nora,Peyto,1,1 Dottie Circle,Saint-Jouan-des-Guérets,FR
Inglebert,Archibould,87856,5 Algoma Place,Périgny,FR
Antonius,Ziemecki,18161,2002 Crownhardt Lane,Saint-Ouen,FR
Celinka,O' Timony,47,637 Bunker Hill Hill,La Garde,FR
Bambi,Cosgreave,7375,90643 Almo Hill,Aix-en-Provence,FR
Ardis,Duffell,7953,4 Elka Pass,Épinal,FR
Morgen,Snartt,88656,46 Forest Run Drive,Marignane,FR
Claudette,Mattinson,61377,4 Starling Lane,Roanne,FR
Archibaldo,Thomasset,220,296 Walton Crossing,Bordeaux,FR
Murray,Clixby,694,5410 Pond Crossing,Paris 11,FR
Manuel,Ramsell,39188,04 Karstens Court,Nemours,FR
Carlin,Chess,52,6372 Heffernan Alley,Marseille,FR
Frants,Ousley,2079,8578 East Hill,Saint-Égrève,FR
Eal,Tunn,62666,17 Surrey Circle,Guéret,FR
Pippo,FitzAlan,3,517 Delaware Pass,Courtaboeuf,FR
Christan,Kix,13,37618 Independence Terrace,Nantes,FR
Aaren,Luigi,5906,1663 Dakota Plaza,Pontivy,FR
Corey,Grennan,4950,14 Kenwood Drive,Besançon,FR
Clyde,Nozzolii,13088,52 Cardinal Hill,Vannes,FR
Zelig,Cutcliffe,9911,960 Drewry Way,Thiais,FR
Rycca,Spradbery,99,44571 Hauk Parkway,Quetigny,FR
Albertine,Shellard,790,16 Melby Street,Montbéliard,FR
Ulises,Alp,1,17171 Heffernan Road,Dijon,FR
Raquel,MacConnulty,9,4810 Springs Place,Paris 12,FR
Benjie,Fairholme,84685,88 Meadow Ridge Center,Cholet,FR
Josepha,Haire,301,9 Schmedeman Hill,Angoulême,FR
Imelda,Dik,525,329 Ridgeview Drive,Nanterre,FR
Harbert,Newlan,1,787 Harbort Drive,Cergy-Pontoise,FR
